epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,8,,,0.41301414370536804,0.161471426486969,0.6136324405670166,0.18908822536468506,0.25919604301452637
0,8,0.41712480783462524,,,,,,
1,17,,,0.3634256422519684,0.14580777287483215,0.5279442071914673,0.16390754282474518,0.19753625988960266
1,17,0.26437604427337646,,,,,,
2,26,,,0.3166942000389099,0.12647247314453125,0.458065390586853,0.14174406230449677,0.1620551496744156
2,26,0.211589515209198,,,,,,
3,35,,,0.2216680347919464,0.09065752476453781,0.31986814737319946,0.0989464670419693,0.11633001267910004
3,35,0.16763491928577423,,,,,,
4,44,,,0.16701249778270721,0.07925529778003693,0.1923842877149582,0.08099537342786789,0.09014590829610825
4,44,0.12223560363054276,,,,,,
5,49,,0.0961398109793663,,,,,
5,53,,,0.16072843968868256,0.07880046963691711,0.19515347480773926,0.0811217799782753,0.07807786017656326
5,53,0.09964777529239655,,,,,,
6,62,,,0.12843774259090424,0.06213755160570145,0.15840698778629303,0.061626844108104706,0.0706445500254631
6,62,0.08979575335979462,,,,,,
7,71,,,0.1406492441892624,0.06960182636976242,0.17347726225852966,0.0709061324596405,0.07350446283817291
7,71,0.08467113971710205,,,,,,
8,80,,,0.12929290533065796,0.06383135914802551,0.1503048688173294,0.06461624801158905,0.06294015049934387
8,80,0.08132757991552353,,,,,,
9,89,,,0.11871341615915298,0.05788217484951019,0.13877588510513306,0.05833553522825241,0.06081583723425865
9,89,0.0786285549402237,,,,,,
10,98,,,0.1219809353351593,0.059448931366205215,0.14063461124897003,0.06019730120897293,0.059435561299324036
10,98,0.07632679492235184,,,,,,
11,99,,0.07885634154081345,,,,,
11,107,,,0.11944553256034851,0.0579034760594368,0.14041078090667725,0.058746594935655594,0.05995379015803337
11,107,0.0753130242228508,,,,,,
12,116,,,0.12724559009075165,0.06248791888356209,0.15003621578216553,0.06322848051786423,0.06267986446619034
12,116,0.07415184378623962,,,,,,
13,125,,,0.11723829805850983,0.056964974850416183,0.13781563937664032,0.05769161507487297,0.059037402272224426
13,125,0.07449064403772354,,,,,,
14,134,,,0.11713124811649323,0.05860137939453125,0.14074526727199554,0.05891644209623337,0.05926315486431122
14,134,0.0725848525762558,,,,,,
15,143,,,0.11034302413463593,0.0524323508143425,0.13388065993785858,0.052206818014383316,0.059120919555425644
15,143,0.07166138291358948,,,,,,
16,149,,0.071357361972332,,,,,
16,152,,,0.10709981620311737,0.051442138850688934,0.13293100893497467,0.0521378368139267,0.058977510780096054
16,152,0.07200819998979568,,,,,,
17,161,,,0.11587315052747726,0.056693706661462784,0.13561834394931793,0.05787342041730881,0.058017510920763016
17,161,0.07119913399219513,,,,,,
18,170,,,0.1212524026632309,0.05979616194963455,0.1428879350423813,0.06139947846531868,0.061363816261291504
18,170,0.06978822499513626,,,,,,
19,179,,,0.11619772017002106,0.05690987408161163,0.13848257064819336,0.0583932064473629,0.05962149798870087
19,179,0.06978777796030045,,,,,,
20,188,,,0.12197008728981018,0.05917153134942055,0.1424524188041687,0.06057765707373619,0.06156928837299347
20,188,0.06900355964899063,,,,,,
21,197,,,0.11878376454114914,0.05858747661113739,0.14413270354270935,0.06003699079155922,0.0616811066865921
21,197,0.0693073645234108,,,,,,
22,199,,0.0658084973692894,,,,,
22,206,,,0.12906885147094727,0.06237811595201492,0.15366801619529724,0.06400591135025024,0.06506340950727463
22,206,0.06775455176830292,,,,,,
23,215,,,0.10726119577884674,0.05136749520897865,0.1275840401649475,0.05170281603932381,0.05436154827475548
23,215,0.0682390034198761,,,,,,
24,224,,,0.11716169863939285,0.056189171969890594,0.13600465655326843,0.05747184529900551,0.05832386016845703
24,224,0.0661405697464943,,,,,,
25,233,,,0.11475621163845062,0.05655749514698982,0.13912275433540344,0.05780818685889244,0.05902600288391113
25,233,0.0654325783252716,,,,,,
26,242,,,0.11899219453334808,0.05701865628361702,0.13922087848186493,0.058215830475091934,0.05955657735466957
26,242,0.06638483703136444,,,,,,
27,249,,0.06661134213209152,,,,,
27,251,,,0.11044783145189285,0.05399654805660248,0.13358838856220245,0.05508136376738548,0.05726182460784912
27,251,0.06564975529909134,,,,,,
28,260,,,0.11081977188587189,0.052177269011735916,0.13086602091789246,0.05257083848118782,0.05432520806789398
28,260,0.06495128571987152,,,,,,
29,269,,,0.11975814402103424,0.05814661085605621,0.14440275728702545,0.05931384861469269,0.06131787970662117
29,269,0.06537914276123047,,,,,,
30,278,,,0.11107432097196579,0.054095491766929626,0.13467392325401306,0.05507279187440872,0.057838074862957
30,278,0.06492827832698822,,,,,,
31,287,,,0.1144544929265976,0.05419030040502548,0.13402286171913147,0.05460161343216896,0.0561666414141655
31,287,0.06486588716506958,,,,,,
32,296,,,0.11208587139844894,0.05465495213866234,0.13846130669116974,0.05591122806072235,0.059401895850896835
32,296,0.06440336257219315,,,,,,
33,299,,0.061781127005815506,,,,,
33,305,,,0.11448926478624344,0.05529339239001274,0.1381949782371521,0.05641639232635498,0.05860735848546028
33,305,0.0639277771115303,,,,,,
